parent_id,parent_name,min_rake,max_rake,min_rake_style,max_rake_style,pref_style
311,Bear Creek,78,84,reverse,reverse,reverse
312,Catalina,119,168,reverse oblique,strike-slip,reverse oblique
313,Chico Monocline,97,115,reverse,reverse oblique,reverse oblique
314,Cohasset Ridge,113,113,reverse oblique,reverse oblique,reverse oblique
315,Corning,56,73,reverse oblique,reverse,reverse oblique
316,Crafton Hills,-180,180,strike-slip,strike-slip,normal oblique
317,Extra,-180,180,strike-slip,strike-slip,strike-slip
318,Grizzly Valley,-173,169,strike-slip,strike-slip,normal oblique
319,Grogan,-170,159,strike-slip,reverse oblique,reverse oblique
320,Independence (north),-163,-58,strike-slip,normal oblique,normal
321,Inks Creek - Hooker Dome,77,79,reverse,reverse,reverse
322,Lake Peak,-180,180,strike-slip,strike-slip,strike-slip
323,Lausuen Knoll,70,169,reverse,strike-slip,reverse
324,Lost Man,94,139,reverse,reverse oblique,reverse oblique
325,Mayfield,-111,-75,normal oblique,normal,normal
326,McArthur,-100,-70,normal,normal oblique,normal
327,Mid Channel,24,168,reverse oblique,strike-slip,reverse oblique
328,Midway,83,179,reverse,strike-slip,reverse oblique
329,Murrieta Hot Springs,-180,180,strike-slip,strike-slip,strike-slip
330,Noyo Basin,-180,180,strike-slip,strike-slip,strike-slip
331,Paxton Ranch,-180,180,strike-slip,strike-slip,normal oblique
332,Pfieffer Point,-180,180,strike-slip,strike-slip,strike-slip
333,Pitas Point,14,172,strike-slip,strike-slip,reverse
334,Red Bluff,62,109,reverse oblique,reverse,reverse
335,Red Hill,-180,180,strike-slip,strike-slip,reverse oblique
336,Reservoir Canyon,-180,180,strike-slip,strike-slip,normal oblique
337,Robinson Creek (south),-112,-81,normal oblique,normal,normal
338,Salt Wells Valley,-180,180,strike-slip,strike-slip,strike-slip
339,San Felipe,-180,180,strike-slip,strike-slip,strike-slip
340,San Mateo,89,169,reverse,strike-slip,reverse oblique
341,Santa Cruz - San Clemente,37,171,reverse oblique,strike-slip,reverse oblique
342,Silver Lake,-125,-89,normal oblique,normal,normal
343,Slinkard Valley,-131,-70,normal oblique,normal oblique,normal
344,Sonora Basin,-128,-75,normal oblique,normal,normal
346,Southampton,-180,180,strike-slip,strike-slip,strike-slip
347,Surpur Creek,105,146,reverse,reverse oblique,reverse oblique
348,"Big Valley (unnamed, proxy)",-175,-171,strike-slip,strike-slip,strike-slip
349,Pondosa (proxy),-113,-75,normal oblique,normal,normal
350,South Mono (proxy),-156,-6,normal oblique,strike-slip,normal
351,"Susanville - Eagle Lake (unnamed, proxy)",-176,-173,strike-slip,strike-slip,strike-slip
352,Walnut Creek,-176,177,strike-slip,strike-slip,reverse oblique
353,West Tracy,94,177,reverse,strike-slip,reverse
354,South Napa,-180,180,strike-slip,strike-slip,strike-slip
355,Cox Ranch,-180,180,strike-slip,strike-slip,reverse oblique
356,Morongo Valley,-180,180,strike-slip,strike-slip,strike-slip
357,Carlsbad Ridge,83,174,reverse,strike-slip,strike-slip
700,San Andreas (Coachella),-180,180,strike-slip,strike-slip,strike-slip
701,San Andreas (San Gorgonio Pass - Garnet Hill),-180,180,strike-slip,strike-slip,strike-slip
702,"San Andreas (San Bernardino, south)",-180,180,strike-slip,strike-slip,strike-slip
703,"San Andreas (San Bernardino, north)",-180,180,strike-slip,strike-slip,strike-slip
704,"San Andreas (Mojave,  south)",-180,180,strike-slip,strike-slip,strike-slip
705,"San Andreas (Mojave,  north)",-180,180,strike-slip,strike-slip,strike-slip
706,San Andreas (Big Bend),-180,180,strike-slip,strike-slip,strike-slip
707,San Andreas (Carrizo),-180,180,strike-slip,strike-slip,strike-slip
708,San Andreas (Cholame),-180,180,strike-slip,strike-slip,strike-slip
709,San Andreas (Parkfield),-180,180,strike-slip,strike-slip,strike-slip
710,San Andreas (Creeping),-180,180,strike-slip,strike-slip,strike-slip
711,San Andreas (Santa Cruz Mountains),-180,180,strike-slip,strike-slip,strike-slip
712,San Andreas (Peninsula),-180,180,strike-slip,strike-slip,strike-slip
713,San Andreas (North Coast),-180,180,strike-slip,strike-slip,strike-slip
714,San Andreas (Offshore),-180,180,strike-slip,strike-slip,strike-slip
715,San Andreas (Banning),-180,180,strike-slip,strike-slip,reverse oblique
800,San Jacinto (Superstition Mountain),-180,180,strike-slip,strike-slip,strike-slip
801,San Jacinto (Borrego),-180,180,strike-slip,strike-slip,reverse oblique
802,San Jacinto (Coyote Creek),-180,180,strike-slip,strike-slip,reverse oblique
803,San Jacinto (Clark),-180,180,strike-slip,strike-slip,strike-slip
804,San Jacinto (Anza),-180,180,strike-slip,strike-slip,strike-slip
805,San Jacinto (stepover),-180,180,strike-slip,strike-slip,strike-slip
806,San Jacinto (San Jacinto Valley),-180,180,strike-slip,strike-slip,strike-slip
807,San Jacinto (San Bernardino),-180,180,strike-slip,strike-slip,strike-slip
840,Elsinore (Coyote Mountains),-180,180,strike-slip,strike-slip,strike-slip
841,Elsinore (Julian),-180,180,strike-slip,strike-slip,strike-slip
842,Elsinore (Temecula),-180,180,strike-slip,strike-slip,strike-slip
843,Elsinore (stepover),-180,180,strike-slip,strike-slip,strike-slip
844,Elsinore (Glen Ivy),-180,180,strike-slip,strike-slip,strike-slip
880,Garlock (west),-180,180,strike-slip,strike-slip,strike-slip
881,Garlock (center),-180,180,strike-slip,strike-slip,strike-slip
882,Garlock (east),-180,180,strike-slip,strike-slip,strike-slip
900,"Hayward (south, extension)",-180,180,strike-slip,strike-slip,strike-slip
901,Hayward (south),-180,180,strike-slip,strike-slip,strike-slip
902,Hayward (north),-180,180,strike-slip,strike-slip,strike-slip
903,Rodgers Creek - Healdsburg,-180,180,strike-slip,strike-slip,strike-slip
920,"Calaveras (south, Paicines)",-180,180,strike-slip,strike-slip,strike-slip
921,Calaveras (south),-180,180,strike-slip,strike-slip,strike-slip
922,Calaveras (center),-180,180,strike-slip,strike-slip,strike-slip
923,Calaveras (north),-180,180,strike-slip,strike-slip,strike-slip
1000,Antelope Valley,-139,-56,normal oblique,normal oblique,normal
1001,Genoa (south),-143,-42,normal oblique,normal oblique,normal
1002,Incline Village,-142,-69,normal oblique,normal oblique,normal
1003,Antelope Range - Kingsley Mountains,-110,-95,normal,normal,normal
1004,Bare Mountain,-123,-123,normal oblique,normal oblique,normal oblique
1005,Battle Mountain,-119,-75,normal oblique,normal,normal
1006,Benton Spring (south),-180,180,strike-slip,strike-slip,normal oblique
1007,Beowawe,-100,-76,normal,normal,normal
1008,Bettles Well - Petrified Springs,-180,180,strike-slip,strike-slip,normal oblique
1009,Black Hills,-91,-91,normal,normal,normal
1010,Black Rock,-106,-102,normal,normal,normal
1011,Bloody Run Hills,-99,-77,normal,normal,normal
1012,Bonham Ranch,-135,-99,normal oblique,normal,normal
1013,Buena Vista Valley,-120,-77,normal oblique,normal,normal
1014,Buffalo Creek,-145,-85,normal oblique,normal,normal oblique
1015,Buffalo Mountain,-118,-84,normal oblique,normal,normal
1016,Buffalo Valley,-122,-80,normal oblique,normal,normal
1017,Butte Mountains,-107,-77,normal,normal,normal
1018,California Wash,-95,-95,normal,normal,normal
1019,Carico Lake Valley,-102,-86,normal,normal,normal
1020,Carson City,-143,-31,normal oblique,normal oblique,normal
1023,Clan Alpine,-137,-89,normal oblique,normal,normal oblique
1024,Coaldale,-168,10,strike-slip,strike-slip,normal
1026,Cortez Mountain,-102,-82,normal,normal,normal
1027,Coyote Spring,-120,-110,normal oblique,normal,normal oblique
1028,Crescent Dunes,-110,-41,normal,normal oblique,normal
1029,Desatoya Mountains (south),-136,-84,normal oblique,normal,normal
1030,Diamond Mountains,-105,-84,normal,normal,normal
