parent_id,parent_name
340,San Mateo
2487,San Mateo Mountains (unnamed)
255,San Pedro Basin
256,San Pedro Escarpment
257,San Vicente
1101,Sand Springs Range
2482,Sandia
2839,Sandy Point
2101,"Sangre de Cristo (Crestone, Blanca, Zapata, San Luis)"
2194,Sangre de Cristo (San Luis)
2427,Sangre de Cristo (south)
2483,Santa Clara
341,Santa Cruz - San Clemente
260,Santa Cruz Island
262,Santa Monica
261,Santa Monica Bay
2052,Santa Rita (north)
2053,Santa Rita (south)
264,Santa Rosa Island
2572,Santa Rosa Range (center)
2531,Santa Rosa Range (north)
2573,Santa Rosa Range (south)
266,Santa Susana
265,"Santa Susana (east, connector)"
268,Santa Ynez (east)
269,Santa Ynez (west)
270,Santa Ynez River
271,Sargent
2102,Sawatch (south)
2207,Sawtooth
2425,Sawyer Canyon
1103,Schell Creek Range
2769,Scipio - Maple Grove - Pavant Range - Red Canyon
272,Scodie Lineament (seismicity)
2842,Seattle (east)
2881,Seattle (middle)
2882,Seattle (north)
2880,Seattle (south)
1104,Selenite Range
2054,Seligman
1105,Seven Troughs Range
2006,Sevier - Toroweap
2711,Sevier - Toroweap (north)
1106,Sheep Basin
1226,Sheep Creek Range (southeast)
1107,Sheep Creek Range (west)
1219,Sheep Range
1220,Sheep Range - East Desert Range
273,Sheephole
2770,Sheeprock
2228,Shirt Creek
274,Shoreline
1108,Shoshone Range
275,Sierra Madre
276,Sierra Madre (San Fernando)
277,Sierra Nevada (north)
278,Sierra Nevada (south)
2485,Sierra Palomas
2484,Sierra de las Uvas
279,Silver Creek
1221,Silver King Pass
342,Silver Lake
280,Simi - Santa Rosa
1109,Simpson Park Mountains
1110,Singatse Range
281,Sisar
1222,Six-mile Flat
282,Skinner Flat
2532,Sky Lakes
343,Slinkard Valley
1111,Smith Valley (north)
1223,Smith Valley (south)
2771,Snake Valley (north)
1224,Snake Valley (south)
2426,Socorro Canyon
344,Sonora Basin
2922,South Granite Mountains
350,South Mono (proxy)
354,South Napa
2534,South Slough
346,Southampton
1225,Southeast Fish Creek Mountains
2533,Southeast Newberry
1227,Southern Huntington Valley
2772,Southern Oquirrh Mountains
1228,Southern Snake Range
1229,Southern Spring Valley
2891,Southern Whidbey Island (middle)
2892,Southern Whidbey Island (north)
2890,Southern Whidbey Island (south)
2576,Southwest Newberry
1112,Southwest Reese River Valley
